Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2005 [YR2005]
Czech Republic,CZE,Population,POP,SP.POP.TOTL.ICP:Population,SP.POP.TOTL.ICP,10234000
Czech Republic,CZE,Exchange Rates,EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,23.9490322860099
United Arab Emirates,ARE,Expenditure shares (GDP = 100),ZS,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,..
United Arab Emirates,ARE,Expenditure shares (GDP = 100),ZS,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,..
United Arab Emirates,ARE,Expenditure shares (GDP = 100),ZS,170000:BALANCE OF EXPORTS AND IMPORTS,170000,..
United Arab Emirates,ARE,Global PPPs,PPPGlob,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,..
United Arab Emirates,ARE,Global PPPs,PPPGlob,170000:BALANCE OF EXPORTS AND IMPORTS,170000,..
United Arab Emirates,ARE,Population,POP,SP.POP.TOTL.ICP.ZS:Population shares (World=100),SP.POP.TOTL.ICP.ZS,..
United Arab Emirates,ARE,Population,POP,SP.POP.TOTL.ICP:Population,SP.POP.TOTL.ICP,..
United Arab Emirates,ARE,Exchange Rates,EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,..
Latvia,LVA,Expenditure shares (GDP = 100),ZS,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,4.2478268592851
Latvia,LVA,Expenditure shares (GDP = 100),ZS,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,..
Latvia,LVA,Expenditure shares (GDP = 100),ZS,170000:BALANCE OF EXPORTS AND IMPORTS,170000,-14.3841135628577
Latvia,LVA,Global PPPs,PPPGlob,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,0.289547972088931
Latvia,LVA,Global PPPs,PPPGlob,170000:BALANCE OF EXPORTS AND IMPORTS,170000,..
Latvia,LVA,Population,POP,SP.POP.TOTL.ICP.ZS:Population shares (World=100),SP.POP.TOTL.ICP.ZS,0.0375321287023208
Latvia,LVA,Population,POP,SP.POP.TOTL.ICP:Population,SP.POP.TOTL.ICP,2300000
Latvia,LVA,Exchange Rates,EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.559845419297565
,,,,,,
,,,,,,
,,,,,,
Data from database: International Comparison Program (ICP) 2005,,,,,,
Last Updated: 09/10/2021,,,,,,
